parche_id,area_ha,ocupado,distancia_mas_cercano_km,calidad_habitat,heterocigosidad,riqueza_especies,x,y,prob_colonizacion,prob_extincion,criticidad
1,119.8,True,2.23,Media,0.655,36,76.4,46.72,0.474,0.091,0.628
2,32.3,False,2.84,Media,0.0,0,60.36,59.86,0.205,0.524,0.115
3,111.8,True,0.66,Alta,0.619,36,25.73,9.84,0.733,0.107,0.899
4,126.6,False,7.79,Alta,0.0,0,56.28,25.06,0.092,0.079,0.752
5,127.0,False,2.52,Alta,0.0,0,54.94,23.84,0.447,0.079,0.753
6,39.3,True,0.65,Media,0.356,31,88.6,31.11,0.436,0.456,0.34
7,140.1,False,7.06,Media,0.0,0,12.34,51.89,0.12,0.061,0.5
8,94.6,False,2.13,Alta,0.0,0,38.06,4.29,0.434,0.151,0.638
9,45.4,False,7.86,Alta,0.0,0,60.39,45.81,0.054,0.403,0.462
10,138.0,False,6.09,Media,0.0,0,9.36,72.83,0.16,0.063,0.493
11,40.7,True,2.02,Baja,0.331,31,21.95,94.94,0.294,0.443,0.345
12,30.1,True,6.43,Alta,0.479,30,0.06,35.21,0.067,0.548,0.607
