"parche_id","area_ha","ocupado","distancia_mas_cercano_km","calidad_habitat","heterocigosidad","riqueza_especies","x","y","prob_colonizacion","prob_extincion","criticidad"
1,46.8,FALSE,7.87,"Baja",0.644,32,0.48,72.91,0.053,0.392,0.159
2,19.2,TRUE,5.77,"Baja",0.501,28,21.59,2.89,0.064,0.681,0.265
3,15.1,TRUE,2.04,"Media",0.341,27,65.47,55.46,0.174,0.739,0.251
4,87.1,TRUE,1,"Media",0.471,34,18.22,87.08,0.571,0.175,0.497
5,26.1,TRUE,6.57,"Alta",0.308,29,81.26,88.6,0.059,0.593,0.589
6,144.2,FALSE,6.19,"Alta",0.526,37,19.93,51.85,0.155,0.056,0.791
7,68.8,TRUE,2.57,"Media",0.333,33,57.62,12.7,0.317,0.253,0.434
8,36.5,TRUE,1.08,"Baja",0.611,31,78.18,38.08,0.361,0.482,0.324
9,135,FALSE,3.25,"Media",0.626,36,61,24.94,0.362,0.067,0.46
10,27.1,FALSE,4.43,"Media",0.554,29,62.08,13.38,0.114,0.582,0.092
11,87.8,TRUE,3.84,"Alta",0.323,34,72.9,24.56,0.244,0.173,0.799
12,146.8,TRUE,2.06,"Alta",0.655,37,18.41,6.33,0.539,0.053,1
